title,description,link,guid
"Cardio and tone","Monday, July 31, 2017, 9:30&nbsp;&ndash;&nbsp;10:15am <br/><br/><img src=""http://www.trumba.com/i/DgBCE8bcWn6naga4kPCq09vq.jpg"" title=""Cardio and tone"" alt=""Cardio and tone"" width=""132"" height=""79"" /><br/><br/>A 45 minute class that incorporates elements of cardio and strength for a complete all over body workout. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Not required. For more information phone Vanessa at The Extra Mile on 0401 668 434. <br/><b>Meeting point</b>:&nbsp;Next to the playground <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221590&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Clivedon Park, Fig Tree Pocket</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.518214,152.961634(Clivedon+Park%2c+Fig+Tree+Pocket)"" target=""_blank"">Clivedon Park, 62 Terrigal Street, Fig Tree Pocket</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954196,
"Cardio and tone",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954196,,"A 45 minute class that incorporates elements of cardio and strength for a complete all over body workout."
"Fitness for mums","Monday, July 31, 2017, 9:30&nbsp;&ndash;&nbsp;10:30am <br/><br/><img src=""http://www.trumba.com/i/DgBZMnPNU-PyWYplXDz4laj7.jpg"" title=""Fitness for mums"" alt=""Fitness for mums"" width=""132"" height=""79"" /><br/><br/>Bookings essential. Stay fit and healthy after having your baby. Re-build strength, tone and achieve overall cardio fitness. This is a great opportunity to meet other mums. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Bookings essential. To book phone Nadia from Nadu Fitness on 0487 070 174. <br/><b>Meeting point</b>:&nbsp;Near the playground <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221674&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Sherwood Arboretum, Sherwood</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.532236,152.977318(Sherwood+Arboretum%2c+Sherwood)"" target=""_blank"">Sherwood Arboretum, 57 Dewar Terrace, Sherwood</a> <br/><b>Boat ramp facilities</b>:&nbsp;Single pontoon <br/><b>Boat ramp information</b>:&nbsp;Sherwood Forest Park Pontoon,  Status: open <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954206,
"Fitness for mums",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954206,,"Bookings essential. Stay fit and healthy after having your baby. Re-build strength, tone and achieve overall cardio fitness. This is a great opportunity to meet other mums."
"Mums and bubs challenge","Monday, July 31, 2017, 9:30&nbsp;&ndash;&nbsp;10:30am <br/><br/><img src=""http://www.trumba.com/i/DgBU0AqAX643dHIESHzy-adt.jpg"" title=""Mums and bubs challenge"" alt=""Mums and bubs challenge"" width=""132"" height=""79"" /><br/><br/>Regain you pre-pregnancy body and fitness while exercising with your baby. This is a great way to meet other mums. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Not required. For more information phone Fitness 4 U on 0412 552 885. <br/><b>Meeting point</b>:&nbsp;Playground <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=472697&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Seville Park, Holland Park</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.521737,153.071241(Seville+Park%2c+Holland+Park)"" target=""_blank"">Seville Park, 5 Elgar Street, Holland Park</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954216,
"Mums and bubs challenge",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954216,,"Regain you pre-pregnancy body and fitness while exercising with your baby. This is a great way to meet other mums."
"Mums and bubs soccer (3-4 years)","Monday, July 31, 2017, 9:30&nbsp;&ndash;&nbsp;10am <br/><br/><img src=""http://www.trumba.com/i/DgBTYCkuyDig9Kupzz5SyMOF.jpg"" title=""Mums and bubs soccer (3-4 years)"" alt=""Mums and bubs soccer (3-4 years)"" width=""132"" height=""79"" /><br/><br/>Bookings essential. Fun, safe, soccer games using balls, goals and cones. This is the perfect mix of fun, physical activity and instruction that is sure to please all. Suitable for 3-4 year olds. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Bookings essential. To book visit <a href=""http://www.gingersport.com.au/active-parks-program"" target=""_blank"">Ginger Sports</a> or for more information phone 3890 3338. <br/><b>Meeting point</b>:&nbsp;Near the playground <br/><b>Requirements</b>:&nbsp;Closed in shoes <br/><b>Age</b>:&nbsp;3-4 years <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221679&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Teralba Park, Everton Park</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.403471,152.980156(Teralba+Park%2c+Everton+Park)"" target=""_blank"">Teralba Park, 120 Pullen Road, Everton Park</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954226,
"Mums and bubs soccer (3-4 years)",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954226,,"Bookings essential. Fun, safe, soccer games using balls, goals and cones. This is the perfect mix of fun, physical activity and instruction that is sure to please all. Suitable for 3-4 year olds."
Pilates,"Monday, July 31, 2017, 9:30&nbsp;&ndash;&nbsp;10:30am <br/><br/><img src=""http://www.trumba.com/i/DgAKTeEdCyjiab3IBLYwy92R.jpg"" title=""Pilates"" alt=""Pilates"" width=""132"" height=""79"" /><br/><br/>Stretching and strengthening exercises targeted at functional movement and core muscle strengthening. Exercises are designed to improve posture and help reduce risk of injury. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Not required. For more information phone Alison from AMS Pilates on 0487 930 116. <br/><b>Meeting point</b>:&nbsp;Near the basketball half court <br/><b>Requirements</b>:&nbsp;Yoga mat <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=288809&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Calamvale District Park, Calamvale</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.62119061,153.0391036(Calamvale+District+Park%2c+Calamvale)"" target=""_blank"">Calamvale District Park, 31 Formby Street, Calamvale</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954245,
Pilates,http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954245,,"Stretching and strengthening exercises targeted at functional movement and core muscle strengthening. Exercises are designed to improve posture and help reduce risk of injury."
"Tai Chi Qigong","Monday, July 31, 2017, 9:30&nbsp;&ndash;&nbsp;10:30am <br/><br/><img src=""http://www.trumba.com/i/DgAXhN2o9HUwh9nGnr57608y.jpg"" title=""Tai Chi Qigong"" alt=""Tai Chi Qigong"" width=""132"" height=""79"" /><br/><br/>This dynamic activity is invigorating, works with both your body and your mind and will help you feel relaxed, refreshed and calm. Tai Chi is becoming recognised as the world&#39;s most beneficial healthy system. Rejuvenate your body and learn to create a tranquil mind. Join any week - all welcome. <br/><br/><b>Cost</b>:&nbsp;$5 <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being <br/><b>Bookings</b>:&nbsp;Not required. For more information phone Australian Academy of Tai Chi and Qigong on 07 3358 1955 or visit <a href=""http://www.livingchi.com.au/"" target=""_blank"">www.livingchi.com.au</a> <br/><b>Meeting point</b>:&nbsp;Picnic shelter <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221629&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Keating Park, Indooroopilly</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.499673,152.974405(Keating+Park%2c+Indooroopilly)"" target=""_blank"">Keating Park, 60 Stamford Road, Indooroopilly</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954256,
"Tai Chi Qigong",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954256,,"This dynamic activity is invigorating, works with both your body and your mind and will help you feel relaxed, refreshed and calm. Tai Chi is becoming recognised as the world's most beneficial healthy system. Rejuvenate your body and learn to create a tranquil mind. Join any week - all welcome."
"Dino discovery","Monday, July 31, 2017, 10am&nbsp;&ndash;&nbsp;12pm <br/><br/><img src=""http://www.trumba.com/i/DgAY5FwqxkE0JbpK0Zx3%2A7Ds.jpg"" title=""Dino discovery"" alt=""Dino discovery"" width=""132"" height=""79"" /><br/><br/>Bookings essential. Come along to this fun workshop where little ones can hear some stories that will make them roar with laughter and then get active and healthy with fun and interactive games with a dinosaur theme! This is a wonderful workshop that will stretch the body and imagination. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being <br/><b>Bookings</b>:&nbsp;Bookings essential. To book visit <a href=""http://www.bazilgrumble.com/hidden-pages/event-registration/"" target=""_blank"">Bazil Grumble</a>&#160;or for more information phone 0411 246 487. <br/><b>Meeting point</b>:&nbsp;Near the playground <br/><b>Requirements</b>:&nbsp;Sun protection, fully enclosed shoes, insect repellent and drinking water. <br/><b>Age</b>:&nbsp;3-5 years <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221585&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">C.B. Mott Park, Holland Park</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.515888,153.058766(C.B.+Mott+Park%2c+Holland+Park)"" target=""_blank"">C.B. Mott Park, 49 Abbotsleigh Street, Holland Park</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123793138,
"Dino discovery",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123793138,,"Bookings essential. Come along to this fun workshop where little ones can hear some stories that will make them roar with laughter and then get active and healthy with fun and interactive games with a dinosaur theme! This is a wonderful workshop that will stretch the body and imagination."
"Mums n' bubs pilates","Monday, July 31, 2017, 10:30&nbsp;&ndash;&nbsp;11:30am <br/><br/><img src=""http://www.trumba.com/i/DgA3dq-6ZJ7CcAztY3JzswOW.jpg"" title=""Mums n&#39; bubs pilates"" alt=""Mums n&#39; bubs pilates"" width=""132"" height=""79"" /><br/><br/>A workout specifically tailored for new mums and their babies that includes a mix of strength, stretch and core stability work to rebuild your body from the inside out. &#160;Meet by the playground on Baron Street, Greenslopes. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Not required. For more information phone Jenny at Ziprfit on 0403 859 013. <br/><b>Meeting point</b>:&nbsp;By the playground on Baron Street <br/><b>Requirements</b>:&nbsp;Yoga mat or towel <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221682&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Thompson Estate Reserve, Greenslopes</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.5062589591,153.042634656(Thompson+Estate+Reserve%2c+Greenslopes)"" target=""_blank"">Thompson Estate Reserve, 133 Juliette Street, Greenslopes</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954278,
"Mums n' bubs pilates",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954278,,"A workout specifically tailored for new mums and their babies that includes a mix of strength, stretch and core stability work to rebuild your body from the inside out. &nbsp;Meet by the playground on Baron Street, Greenslopes."
"Circuits and intervals","Monday, July 31, 2017, 11am&nbsp;&ndash;&nbsp;12pm <br/><br/><img src=""http://www.trumba.com/i/DgCF5JIXRgPTX2Fm2lNREg6R.jpg"" title=""Circuits and intervals"" alt=""Circuits and intervals"" width=""132"" height=""83"" /><br/><br/>Bookings essential. Body conditioning circuits and interval training proven to be the most time efficient and effective way to increase and maintain your fitness levels. Varied programs designed to target strength, build muscular endurance and improve cardiovascular performance. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Bookings essential. To book phone Christine from Fitness with a Twist on 0406 425 561. <br/><b>Meeting point</b>:&nbsp;The gazebo near the Australian Plant Communities car park <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=200264&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Brisbane Botanic Gardens Mt Coot-tha</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=152+Mount+Coot+Tha+Rd%2c+Toowong+QLD+4066%2c+Australia"" target=""_blank"">Brisbane Botanic Gardens Mt Coot-tha, 152 Mt Coot-tha Road, Toowong</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954233,
"Circuits and intervals",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954233,,"Bookings essential. Body conditioning circuits and interval training proven to be the most time efficient and effective way to increase and maintain your fitness levels. Varied programs designed to target strength, build muscular endurance and improve cardiovascular performance."
Pilates,"Monday, July 31, 2017, 12&nbsp;&ndash;&nbsp;1pm <br/><br/><img src=""http://www.trumba.com/i/DgDET0gY-pw4UiS%2AkruScJyW.jpg"" title=""Pilates"" alt=""Pilates"" width=""132"" height=""79"" /><br/><br/>A beginner to immediate workout combining elements of pilates strengthening, stretching and exercises specially designed to improve posture, reduce stress and tone your body. This workout is suitable for adults of all ages. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Not required. For more information phone Jenny at Ziprfit on 0403 859 013. <br/><b>Meeting point</b>:&nbsp;By the play equipment <br/><b>Requirements</b>:&nbsp;Yoga mat or towel <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=487655&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Mt Gravatt Park, Upper Mount Gravatt</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=1873+Logan+Rd%2c+Upper+Mount+Gravatt+QLD+4122%2c+Australia"" target=""_blank"">Mt Gravatt Park, 1873 Logan Road, Upper Mount Gravatt</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954287,
Pilates,http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954287,,"A beginner to immediate workout combining elements of pilates strengthening, stretching and exercises specially designed to improve posture, reduce stress and tone your body. This workout is suitable for adults of all ages."
"Skateboarding masterclass","Fairfield Skatepark, 136 Home St, Fairfield QLD 4103 <br/>Monday, July 31, 2017, 3:30&nbsp;&ndash;&nbsp;4:30pm <br/><br/><img src=""http://www.trumba.com/i/DgCifmqOOnHgjP7wlz0sc5wV.jpg"" title=""Skateboarding masterclass"" alt=""Skateboarding masterclass"" width=""132"" height=""79"" /><br/><br/>Bookings essential. These workshops make learning to skateboard fun, safe and easy for everyone. Through weekly coaching sessions you will learn the skills of skateboarding in an exciting, social and safe environment. The program also provides a great opportunity for parents to interact with their kids through the activities. All ages and levels welcome. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Bookings essential. To book visit <a href=""http://australianskateboarding.com/events/tags/brisbane-city-council/"" target=""_blank"">Australian Skateboard Community Initiative</a>&#160;or phone 1300 918 531. <br/><b>Meeting point</b>:&nbsp;Skatepark <br/><b>Requirements</b>:&nbsp;Skateboard and helmet if you have one.  Some equipment will be provided. <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954303,
"Skateboarding masterclass",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954303,,"Bookings essential. These workshops make learning to skateboard fun, safe and easy for everyone. Through weekly coaching sessions you will learn the skills of skateboarding in an exciting, social and safe environment. The program also provides a great opportunity for parents to interact with their kids through the activities. All ages and levels welcome."
"ACT-ivate Children's Club (Junior 3-4 years)","Monday, July 31, 2017, 3:45&nbsp;&ndash;&nbsp;4:45pm <br/><br/><img src=""http://www.trumba.com/i/DgBbsyJfeexiUgZKCc6qfX8k.jpg"" title=""ACT-ivate Children&#39;s Club (Junior 3-4 years)"" alt=""ACT-ivate Children&#39;s Club (Junior 3-4 years)"" width=""132"" height=""79"" /><br/><br/>Bookings essential. Using balls, hoops, parachutes, tunnels, jumping sacks, puppets, storybooks, costumes and music, participants will explore all the different ways their growing bodies can move. These sessions will ACT-ivate the children and their caregivers and have a focus on creativity and fun in a safe, relaxed and energetic environment. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being <br/><b>Bookings</b>:&nbsp;Bookings essential. To book visit <a href=""http://www.bazilgrumble.com/hidden-pages/event-registration/"" target=""_blank"">Bazil Grumble</a>&#160;or for more information phone 0411 246 487. <br/><b>Meeting point</b>:&nbsp;Near the playground on Hill End Terrace <br/><b>Requirements</b>:&nbsp;Sun protection, fully enclosed shoes, insect repellent and drinking water. <br/><b>Age</b>:&nbsp;3-4 years <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221660&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Orleigh Park, West End</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.486727,152.997003(Orleigh+Park%2c+West+End)"" target=""_blank"">Orleigh Park, 68 Hill End Terrace, West End</a> <br/><b>Boat ramp facilities</b>:&nbsp;Single pontoon <br/><b>Boat ramp information</b>:&nbsp;Orleigh Park Pontoon,  Status: closed <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123978296,
"ACT-ivate Children's Club (Junior 3-4 years)",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123978296,,"Bookings essential. Using balls, hoops, parachutes, tunnels, jumping sacks, puppets, storybooks, costumes and music, participants will explore all the different ways their growing bodies can move. These sessions will ACT-ivate the children and their caregivers and have a focus on creativity and fun in a safe, relaxed and energetic environment."
"ACT-ivate Children's Club (Senior 5-10 years)","Monday, July 31, 2017, 3:45&nbsp;&ndash;&nbsp;4:45pm <br/><br/><img src=""http://www.trumba.com/i/DgC-Vbr8PVP17FT%2A87zU%2As4X.jpg"" title=""ACT-ivate Children&#39;s Club (Senior 5-10 years)"" alt=""ACT-ivate Children&#39;s Club (Senior 5-10 years)"" width=""132"" height=""79"" /><br/><br/>Bookings essential. Come and play ball games, brave the obstacle courses and relays, enjoy sack and egg and spoon races, participate in drama based interactive games and much more! These sessions will ACTivate participants and have a strong focus on creativity and fun in a safe, relaxed and energetic environment. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being <br/><b>Bookings</b>:&nbsp;Bookings essential. To book visit <a href=""http://www.bazilgrumble.com/hidden-pages/event-registration/"" target=""_blank"">Bazil Grumble</a>&#160;or for more information phone 0411 246 487. <br/><b>Meeting point</b>:&nbsp;Near the playground on Hill End Terrace <br/><b>Requirements</b>:&nbsp;Sun protection, fully enclosed shoes, insect repellent and drinking water. <br/><b>Age</b>:&nbsp;5-10 years <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221660&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Orleigh Park, West End</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.486727,152.997003(Orleigh+Park%2c+West+End)"" target=""_blank"">Orleigh Park, 68 Hill End Terrace, West End</a> <br/><b>Boat ramp facilities</b>:&nbsp;Single pontoon <br/><b>Boat ramp information</b>:&nbsp;Orleigh Park Pontoon,  Status: closed <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123978306,
"ACT-ivate Children's Club (Senior 5-10 years)",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123978306,,"Bookings essential. Come and play ball games, brave the obstacle courses and relays, enjoy sack and egg and spoon races, participate in drama based interactive games and much more! These sessions will ACTivate participants and have a strong focus on creativity and fun in a safe, relaxed and energetic environment."
"Circuit training","Monday, July 31, 2017, 5&nbsp;&ndash;&nbsp;6pm <br/><br/><img src=""http://www.trumba.com/i/DgDuZ05DWw4Uu-DrtEto33%2AH.jpg"" title=""Circuit training"" alt=""Circuit training"" width=""132"" height=""79"" /><br/><br/>Bookings essential. Focus on positive things that you can do to feel good. Whether you have done exercise in the past or are new to being active, you will have an experience that you will enjoy; you will always have a choice to work at your own capacity. No pressure! <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Bookings essential. To book phone Jude at The Community Place on 0407 750 006. <br/><b>Meeting point</b>:&nbsp;By the playground off Sylvan Road, Stafford <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221630&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Keong Park, Stafford</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.407081,153.007019(Keong+Park%2c+Stafford)"" target=""_blank"">Keong Park, 38 Appleby Road, Stafford</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954313,
"Circuit training",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954313,,"Bookings essential. Focus on positive things that you can do to feel good. Whether you have done exercise in the past or are new to being active, you will have an experience that you will enjoy; you will always have a choice to work at your own capacity. No pressure!"
"8 week fitness challenge","Monday, July 31, 2017, 5:30&nbsp;&ndash;&nbsp;6:30pm <br/><br/><img src=""http://www.trumba.com/i/DgAbOXoVvkt9X8UE-uhhKUC7.jpg"" title=""8 week fitness challenge"" alt=""8 week fitness challenge"" width=""132"" height=""79"" /><br/><br/>Bookings essential. Come and learn to make sustainable lifestyle changes with clean living/eating and regular exercise. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Bookings essential. To book phone Nadia from Nadu Fitness on 0487 070 174. <br/><b>Meeting point</b>:&nbsp;Near the playground <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=222097&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Pegg&#39;s Park, Moorooka</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.532059,153.03041(Pegg%27s+Park%2c+Moorooka)"" target=""_blank"">Pegg&#39;s Park, 131 Vendale Avenue, Moorooka</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954329,
"8 week fitness challenge",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954329,,"Bookings essential. Come and learn to make sustainable lifestyle changes with clean living/eating and regular exercise."
"OPA-cize™ dance fitness","Monday, July 31, 2017, 5:30&nbsp;&ndash;&nbsp;6:30pm <br/><br/><img src=""http://www.trumba.com/i/DgB7JBVEB1x%2AvmUp34frPL9%2A.jpg"" title=""OPA-cize™ dance fitness"" alt=""OPA-cize™ dance fitness"" width=""132"" height=""79"" /><br/><br/>This is the first structured, 100 percent,&#160;pure Greek dance fitness workout&#160;of its kind in the world. Opa-cize is choreographed very simply so you can pick up the moves easily and enjoy Greek dancing. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Not required. For more information phone Valerie at Dance Fit With Me on 0416 136 806. <br/><b>Meeting point</b>:&nbsp;South Bank Piazza <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=464155&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">South Bank Parklands</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.478191,153.022929(South+Bank+Parklands)"" target=""_blank"">South Bank Parklands, Corner Ernest Street, Stanley Street and Grey Street, South Brisbane</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123978556,
"OPA-cize™ dance fitness",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123978556,,"This is the first structured, 100 percent,&nbsp;pure Greek dance fitness workout&nbsp;of its kind in the world. Opa-cize is choreographed very simply so you can pick up the moves easily and enjoy Greek dancing."
